user,live_date,message_selector,classes,raw
Mambaa_95,2023-11-23 16:47:54,vitality ICANT,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">vitality ICANT</span></span>]"
quickest22,2023-11-23 16:47:54,je crois pas,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">je crois pas</span></span>]"
Bouteilles,2023-11-23 16:47:54,c'est pas 5 bo le format ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">c'est pas 5 bo le format ?</span></span>]"
HaaamcHiii,2023-11-23 16:47:54,Ca se passe ou ? Corée ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ca se passe ou ? Corée ?</span></span>]"
NyzorBack,2023-11-23 16:47:54,bo1 ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">bo1 ?</span></span>]"
nerofg,2023-11-23 16:47:54,g2 c'est les vrai ou les acad ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">g2 c'est les vrai ou les acad ?</span></span>]"
matislazonebruv,2023-11-23 16:47:54,On se souvient de ce que caliste leur a mit mdrrrr,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">On se souvient de ce que caliste leur a mit mdrrrr</span></span>]"
Thary,2023-11-23 16:47:57,Gladge soupe au chou,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Gladge soupe au chou</span></span>]"
Penzoide,2023-11-23 16:47:58,mad leur top est marrant au moins @Kamet0,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">mad leur top est marrant au moins </span><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@Kamet0</span></span>]"
FasteerTGR,2023-11-23 16:47:59,@Kamet0 react a l'eoreuve du diable ce soir ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@Kamet0</span><span class=""text-fragment"" data-a-target=""chat-message-text""> react a l'eoreuve du diable ce soir ?</span></span>]"
Humble__FC,2023-11-23 16:47:59,Ptit mount & blade directement dans mes veines ce soir?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ptit mount &amp; blade directement dans mes veines ce soir?</span></span>]"
Rayaaan7,2023-11-23 16:47:59,c'est bo combien,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">c'est bo combien</span></span>]"
KGReda,2023-11-23 16:48:00,ce que saken va faire a fraise kiwi ICANT,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ce que saken va faire a fraise kiwi ICANT</span></span>]"
Shimo7_,2023-11-23 16:48:01,c est le vrai T1 ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">c est le vrai T1 ?</span></span>]"
kozmikkkkkk,2023-11-23 16:48:01,contre G2 et team heretics et une team allemande,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">contre G2 et team heretics et une team allemande</span></span>]"
Markybi19,2023-11-23 16:48:02,C'est en France le match T1 ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">C'est en France le match T1 ?</span></span>]"
RodoRider,2023-11-23 16:48:02,"oui mais pb interne, c'est fini",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">oui mais pb interne, c'est fini</span></span>]"
im95_,2023-11-23 16:48:02,y a G2 aussi?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">y a G2 aussi?</span></span>]"
recidax,2023-11-23 16:48:03,dixete millé bots ? ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">dixete millé bots ? </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""MrDestructoid"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/28/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/28/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/28/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/28/default/dark/3.0 4x""/></div></span></div></div></span>]"
subaru2912,2023-11-23 16:48:04,vct??,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">vct??</span></span>]"
Lynaa_19,2023-11-23 16:48:04,veryCat bonapp,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">veryCat bonapp</span></span>]"
nerofg,2023-11-23 16:48:04,@Mambaa_95 force a eux mdr,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@Mambaa_95</span><span class=""text-fragment"" data-a-target=""chat-message-text""> force a eux mdr</span></span>]"
KilluaGriffith,2023-11-23 16:48:05,vos idees de merde mettez les vous dans votre cul merci,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">vos idees de merde mettez les vous dans votre cul merci</span></span>]"
rosidemars,2023-11-23 16:48:06,Ta une info sur combien de place pour les ultra en lec?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ta une info sur combien de place pour les ultra en lec?</span></span>]"
Amarett0Sour,2023-11-23 16:48:06,je suis toujours tellement hype de la LEC j'ai hâte pour chaque match,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">je suis toujours tellement hype de la LEC j'ai hâte pour chaque match</span></span>]"
JulienTSX,2023-11-23 16:48:06,la lineup du 9 décembre sera celle des EUM ou pas ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">la lineup du 9 décembre sera celle des EUM ou pas ?</span></span>]"
KronoZom_,2023-11-23 16:48:06,Bouteilles ça que j'aime pas avec eux c'est que quand ça les arrange le reste du temps ça ferme les yeux,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Bouteilles ça que j'aime pas avec eux c'est que quand ça les arrange le reste du temps ça ferme les yeux</span></span>]"
kc_les_platres,2023-11-23 16:48:06,Yo,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Yo</span></span>]"
Exdar,2023-11-23 16:48:07,KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW</span></span>]"
saito97411,2023-11-23 16:48:07,kekw,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">kekw</span></span>]"
BissapSauceSamourai,2023-11-23 16:48:08,c'est pas déconnant,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">c'est pas déconnant</span></span>]"
KC_Yugi,2023-11-23 16:48:08,un peu tu crois?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">un peu tu crois?</span></span>]"
saito97411,2023-11-23 16:48:09,KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW</span></span>]"
Erubissu,2023-11-23 16:48:09,KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW</span></span>]"
Ptyrionn,2023-11-23 16:48:09,KEKW 󠀀,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW 󠀀</span></span>]"
xantosssss,2023-11-23 16:48:10,full espagnol,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">full espagnol</span></span>]"
droxxt,2023-11-23 16:48:10,KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW</span></span>]"
mohamania,2023-11-23 16:48:11,kekew,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">kekew</span></span>]"
WaterIsNectar,2023-11-23 16:48:13,parce que tout ce que Ibai touche en esport c'est un BIG L,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">parce que tout ce que Ibai touche en esport c'est un BIG L</span></span>]"
RodoRider,2023-11-23 16:48:13,"""UN PEU"" KEKW",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">""UN PEU"" KEKW</span></span>]"
zao_____,2023-11-23 16:48:13,JustWannaRock,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">JustWannaRock</span></span>]"
kaiko345,2023-11-23 16:48:14,Annonce du roster LEC dans combien de temps tu penses ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Annonce du roster LEC dans combien de temps tu penses ?</span></span>]"
NQ10__,2023-11-23 16:48:14,EN VRAI,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">EN VRAI</span></span>]"
mugentiti,2023-11-23 16:48:14,Tu cast sur place ? @kamet0,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Tu cast sur place ? </span><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@kamet0</span></span>]"
gianlucazeza,2023-11-23 16:48:15,logique,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">logique</span></span>]"
astro20th,2023-11-23 16:48:15,Logique imo,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Logique imo</span></span>]"
damienqlf,2023-11-23 16:48:16,roster ERL,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">roster ERL</span></span>]"
markizz921,2023-11-23 16:48:16,IL A PAS TORT,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">IL A PAS TORT</span></span>]"
7Rhay,2023-11-23 16:48:16,en sahhhhh....,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">en sahhhhh....</span></span>]"
guigui497,2023-11-23 16:48:17,leur roster c'est full rookie suaf jungle,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">leur roster c'est full rookie suaf jungle</span></span>]"
nqli,2023-11-23 16:48:17,ce bon Myrwn,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ce bon Myrwn</span></span>]"
leesinsenpaille,2023-11-23 16:48:18,ESKE Y'A DES FAN DE MADS DEJA ??????,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ESKE Y'A DES FAN DE MADS DEJA ??????</span></span>]"
OursComm,2023-11-23 16:48:18,Dernier c'est XL,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Dernier c'est XL</span></span>]"
yekjill,2023-11-23 16:48:18,dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">dernier</span></span>]"
nozyaaaa,2023-11-23 16:48:18,letssss gooooo KC vs T1 on va les tuer aah mdrrr,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">letssss gooooo KC vs T1 on va les tuer aah mdrrr</span></span>]"
life_france,2023-11-23 16:48:18,"En sah, ça joue le top 9.",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">En sah, ça joue le top 9.</span></span>]"
Exdar,2023-11-23 16:48:18,la team vaut rien,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">la team vaut rien</span></span>]"
RELKA_,2023-11-23 16:48:19,YouGotMe,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">YouGotMe</span></span>]"
RayanTnul,2023-11-23 16:48:19,XL,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">XL</span></span>]"
Zackhooo,2023-11-23 16:48:19,on va manger de la KC tout les jour de la semaine en Janvier j’ai tellement hâte sa mère,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">on va manger de la KC tout les jour de la semaine en Janvier j’ai tellement hâte sa mère</span></span>]"
SogeKinnng,2023-11-23 16:48:20,le tres grand freskowsky,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">le tres grand freskowsky</span></span>]"
Priamdjrj,2023-11-23 16:48:21,é&tonnant,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">é&amp;tonnant</span></span>]"
jambe_gauche_cimetiere,2023-11-23 16:48:21,il a pas tord,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">il a pas tord</span></span>]"
jhu_1,2023-11-23 16:48:21,C est quand les T Shirt Manga,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">C est quand les T Shirt Manga</span></span>]"
meissouu,2023-11-23 16:48:21,D,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">D</span></span>]"
RELKA_,2023-11-23 16:48:22,JustWannaRock,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">JustWannaRock</span></span>]"
L1denbr0ck,2023-11-23 16:48:22,Ca gagne pas les EMEA,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ca gagne pas les EMEA</span></span>]"
maalow,2023-11-23 16:48:22,Pourquoi MAD dernier quand XL existe,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Pourquoi MAD dernier quand XL existe</span></span>]"
AzaWoodyy,2023-11-23 16:48:22,mad lions mid de tableau je pense,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">mad lions mid de tableau je pense</span></span>]"
potetoes_croustillantes,2023-11-23 16:48:22,8e pas +,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">8e pas +</span></span>]"
LeChatNabis,2023-11-23 16:48:23,honnêtement oui ils sont dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">honnêtement oui ils sont dernier</span></span>]"
huuuuugfdguuuuh,2023-11-23 16:48:23,nan,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">nan</span></span>]"
RELKA_,2023-11-23 16:48:23,JustWannaRock 󠀀,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">JustWannaRock 󠀀</span></span>]"
yorokobi00,2023-11-23 16:48:23,honnetement c'est top 10,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">honnetement c'est top 10</span></span>]"
Syrmen,2023-11-23 16:48:23,XL dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">XL dernier</span></span>]"
shierouzea,2023-11-23 16:48:23,top 10,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">top 10</span></span>]"
saopolo69,2023-11-23 16:48:23,sk dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">sk dernier</span></span>]"
ls__mojoune,2023-11-23 16:48:24,Il a pas tort,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Il a pas tort</span></span>]"
Keizz_,2023-11-23 16:48:24,bonsoir monsieur @kamet0 bonsoir le chat,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">bonsoir monsieur </span><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@kamet0</span><span class=""text-fragment"" data-a-target=""chat-message-text""> bonsoir le chat</span></span>]"
Neozyds,2023-11-23 16:48:24,Pue sa mère l équipe,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Pue sa mère l équipe</span></span>]"
mr_ginus,2023-11-23 16:48:25,Mérité ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Mérité ?</span></span>]"
RickyF_,2023-11-23 16:48:25,sah s'il font 9ème c'est une grosse perf,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">sah s'il font 9ème c'est une grosse perf</span></span>]"
Raicer__,2023-11-23 16:48:25,Guette le roster Mad c'est guez,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Guette le roster Mad c'est guez</span></span>]"
selrahk78,2023-11-23 16:48:25,en vrai je pense mad vont perf c au feeling,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">en vrai je pense mad vont perf c au feeling</span></span>]"
pannacotttafugo,2023-11-23 16:48:26,Lynaa_19 KEKWait 💧 je disais bjr a CabbageSoup0 KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Lynaa_19 KEKWait 💧 je disais bjr a CabbageSoup0 KEKW</span></span>]"
mb00054,2023-11-23 16:48:26,XL dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">XL dernier</span></span>]"
mn_lyzzen,2023-11-23 16:48:26,10,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">10</span></span>]"
leyankli,2023-11-23 16:48:26,pt,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">pt</span></span>]"
apc8s,2023-11-23 16:48:26,mais y’a sk stp,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">mais y’a sk stp</span></span>]"
Tw_ADicSwiix,2023-11-23 16:48:27,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
Oxsave,2023-11-23 16:48:27,Oui,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Oui</span></span>]"
mohamania,2023-11-23 16:48:27,en sah nul,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">en sah nul</span></span>]"
gianlucazeza,2023-11-23 16:48:28,Ca gagne pas la LFL,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ca gagne pas la LFL</span></span>]"
quickest22,2023-11-23 16:48:28,ca vend pas du reve,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ca vend pas du reve</span></span>]"
Kisekyy,2023-11-23 16:48:28,il gagne pas la LVP,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">il gagne pas la LVP</span></span>]"
NyzorBack,2023-11-23 16:48:28,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
Hlbuse,2023-11-23 16:48:28,top 10,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">top 10</span></span>]"
nerofg,2023-11-23 16:48:28,nn,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">nn</span></span>]"
DriVeuR,2023-11-23 16:48:28,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
OcuIism,2023-11-23 16:48:28,nn,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">nn</span></span>]"
xantosssss,2023-11-23 16:48:28,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
LuckiizZ,2023-11-23 16:48:28,Oui,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Oui</span></span>]"
nuclear_dream3883,2023-11-23 16:48:28,OMG,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">OMG</span></span>]"
Ptyrionn,2023-11-23 16:48:28,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
droxxt,2023-11-23 16:48:28,NOPERS,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">NOPERS</span></span>]"
shannakrezc,2023-11-23 16:48:28,KEKW,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEKW</span></span>]"
Yetoya_,2023-11-23 16:48:29,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
mn_lyzzen,2023-11-23 16:48:29,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
KC_Drapsag,2023-11-23 16:48:29,le roster fait top 10 meme en lfl,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">le roster fait top 10 meme en lfl</span></span>]"
Nessaww_,2023-11-23 16:48:29,NOn,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">NOn</span></span>]"
JumpingWeasel,2023-11-23 16:48:29,non KEKL,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non KEKL</span></span>]"
Plumosaure,2023-11-23 16:48:29,non,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">non</span></span>]"
Illufog,2023-11-23 16:48:29,On sait dans quelle équipe va nisqyy????,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">On sait dans quelle équipe va nisqyy????</span></span>]"
kc_cemletueur,2023-11-23 16:48:29,Dernier,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Dernier</span></span>]"
